,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
175,宜宾,2,个人觉得观后感不错，我觉得也挺有中国的一种特色的，里面的配音也不错，推荐带小朋友来看下,1106769490,klv753740098,5.0,3
176,宜宾,,全新的故事 全新人物   剧情热血     人物刻画细致 一点不输迪士尼的动画 国漫真的是越来越棒了,1106848166,kJH562133775,5.0,1
177,浦江,2,木兰：横空出世可以说是 国庆档最适合带孩子看的电影了，这是一个让孩子们学会成长的励志故事，也能让成年人感同身受，受益匪浅。,1106607559,猪八戒哥们儿,5.0,1
178,宜宾,,新出的国产片，放假带上小孩一起去看，孩子全程聚精会神在看，最美好的亲子时光,1106744670,Jpt583375127,5.0,3
179,宜宾,,打斗场面非常的精彩。看到了中国功夫非常的好。发扬我们中国功夫。年轻人的爱情，曲折，好看,1106671903,lKm692325088,5.0,2
180,株洲,,很不错的一部电影，很喜欢,1107610909,千山易雪,5.0,1
181,上海,2,木兰辞是我喜欢的我国传统文化，木兰也是我喜欢的人物支持这波弘扬我国传统英雄女性的电影~,1107638155,Pjr220858137,5.0,2
182,泰州,,故事情节很精彩，电影幽默，陪着孩子一起看。剧情很有意思，孩子看的聚精会神,1107637146,mpV570999797,5.0,1
183,泉州,2,从小就看花木兰，太期待这部电影了！！！,1107594690,uvB253818643,5.0,2
184,泰州,1,以动画形式还原中国木兰的精气神，对花木兰这个巾帼英雄的成长描述的很好，值得一看。,1107638105,Uie276699631,5.0,4
185,济宁,,除了剧情俗套，特效个别不好，其它还可以,1107628920,培培,4.0,1
186,长治,1,支持国漫，支持李斯丹妮！王子因为害怕木兰的女儿身份暴露就进军长城。人物造型以及整体构思都不错。,1106660386,相守哥哥,5.0,2
187,成都,,成都没有排片么,1107633224,GSz374159286,0.0,2
188,海伦市,2,走心、尊重观众的电影创作，但不是那么完美，一千个人有一千个看法,1107622883,明月8933,5.0,2
189,东莞,2,非常能代表中国特色的一部好电影，真值得一看,1107617307,hSD824045087,5.0,1
190,哈尔滨,1,这个电影非常好，很有中国特色，推荐大家去电影院观看,1107611909,爱情旋旋感鹏哥,5.0,3
191,成都,,电影剧情还不错了，画面感也很好，特别喜欢花木兰了，值得看看了！,1107607816,阳光19862007,5.0,2
192,武汉,,这是全球首次以三维动画形式讲述花木兰故事。木兰作为军中出了名的“刺头”，比身边的男人更蛮更横，虽然武艺高强 ，但从也看出木兰的坚毅，果断。一次次的阴谋，没有打败木兰，她是巾帼英雄。,1107607637,想自由li,5.0,2
193,长治,1,《木兰横空出世》整体感觉还不错，电影风格风趣幽默，画面唯美，故事情节也都很棒，支持国漫！！！,1106775508,「韩、XW」,5.0,1
194,柳州,,国庆了终于有空带孩子看电影了 首选当然是花木兰 期待已久 小朋友很开心,1106642116,KTu287815308,5.0,2
195,武汉,,看着花木兰的一路成长，也希望身边的孩子能感受到木兰替父从军，保家卫国的英雄精神。,1107600785,说说eryi,5.0,1
196,泸州,,"很不错 适合全家一起看 小朋友非常喜欢哦
要跟木兰一样做个真公主👸",1106683236,uNT375154311,5.0,2
197,泸州,,小时候的童年女英雄木兰 也带女儿一起看 希望也能在她心中种下独立 勇敢的种子,1106665084,jyiry,5.0,3
198,枣庄,1,电影场景宏大，镜头场景切换不错，作画水平优秀，是适合重温花木兰故事的不二之选，影响力也十分大，我身边的人也都观看了这个电影，相当不错,1106813665,秋濑470,5.0,1
199,成都,1,谁能告诉我，为什么明明上映了，却没有地方能看,1107604124,insist4d,0.0,2
200,沈阳,1,特别喜欢这个电影，看完之后热血澎湃。木兰英姿飒爽的身影非常喜欢，希望可以看到第二部。,1106825635,街风607,5.0,1
201,青岛,,这部电影非常好看，是我最近看的最好的一部电影，内容十分紧凑，我非常喜欢。,1106847148,简一,5.0,1
202,青岛,,这部国漫太好看啦！！！谁说女子不如男！！巾帼不让须眉！！,1106846182,ㅤ,5.0,1
203,蚌埠,,木兰彰显的木兰精神，真的太让人感动，木兰故事从课本里知道，理解颇深。,1107601415,大大利大大,5.0,2
204,青岛,1,"山水画的底色，十分优美动人，中国式的风格，映照不一样的英雄木兰，祝票房大卖
",1107590036,醋味柠檬,5.0,2
205,大连,1,"爆米花电影。开心最重要啦，主要是真的美，真的彦
",1107595695,湛蓝之泪,5.0,1
206,合肥,,花木兰的故事从小就听，她真的是令人敬佩的女子，一直围绕忠勇真以及孝，敢于不惧生死替父从军 是她的勇气和孝道,1106741755,DpK670720063,5.0,2
207,黄冈,,"每个人的思维不一，爱好不一。一千个人心中有一千个哈姆雷特，这个电影是我的菜。加油，木兰
",1107595371,水灵2015儿,5.0,1
208,广州,1,棒极了，超好看,1107591744,a794241305,5.0,2
209,淮北,1,"非常棒，不能因为现在中国动漫发展太慢就戴有色眼镜。电影制作精美，配音也很好
",1107568905,feel no qualms,5.0,2
210,宁波,,主角眉眼精致，表情倒是亮点，时而露出的表情是我之前未见过的,1107593432,翙羽–,5.0,2
211,日照,,"木兰是属于自己的英雄，她是个很有想法的姑娘，所作所为都处于考量
",1107593272,大大猪20,5.0,3
212,郑州,2,"相对以往一些全片过于吵闹、浮躁的电影，木兰还是让我有代入感的
",1107598007,熏衣草fm,5.0,1
213,成都,2,这样的木兰得到了市场和部分影迷的认可，那导演的初心就走对了路,1107593181,南街,5.0,1
214,靖西市,,"谁说讲故事不可以润色一下，另一种角度另一个全新的故事
",1107589634,🦔,5.0,1
