,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
332,兰州,2,电影还不错，有泪点,1111035618,Qxxxxxxxxx.,4.0,2
333,呼伦贝尔,2,"好看
tui ni",1111054290,NXu279858703,5.0,1
334,成都,,还算不错吧。,1111055271,土肥海贼宅,4.5,2
335,茂名,,很喜欢💕...,1111054137,匿名莹,5.0,2
336,荆州,,挺失望的，期待值太高。,1111045978,十一分半吧,2.0,2
337,长春,2,这个电影很好，到最后有些心酸了，两个相爱的人在一起经历许多事情，跨越时空的相恋,1111049201,風孖815,4.5,3
338,博罗县,,感动的差点哭,1111044778,鹏～锅锅,5.0,3
339,寿县,,和唐佳第一部电影,1110999842,eFE238731092,5.0,2
340,南昌,,出票速度快，,1111044499,CIN444508085,5.0,2
341,平阳,,夸大其词的宣传,1111042838,uVZ475243651,3.5,2
342,綦江,,真的超级超级好看 时间不会阻止某些人的相遇！！,1111019789,JUSTIN,5.0,1
343,鄂尔多斯,,太好看了吧！,1111045033,NQn757766517,5.0,2
344,天津,,也就还好吧反正,1111037702,EWK301502682,4.5,2
345,沂南,2,炒作太火了期待太高一点也不好看很尬,1110999642,盼清.,1.0,1
346,扬州,,很好看，是一个不错的影剧，很喜欢,1111037582,oTr515527674,5.0,2
347,邹平,,没感觉好看呢,1110999628,vTf111875900,3.5,2
348,阳江,,还是可以的。,1111037303,hxllyh,4.5,2
349,武汉,,好👌🏻好,1111037090,蒤璇,4.5,2
350,黔西南,,电影很好看，环境也不错,1110944697,Z橘子1209,5.0,2
351,西安,1,很好看。不错哦,1111030800,_qqsmk1428205809,3.5,2
352,桂林,,忘记了，后面才评价的，总体不错,1111036138,上官若夕,5.0,3
353,上海,,还是没有等到你…,1111036016,裴钦若,5.0,2
354,石狮,2,值得.可以看,1111031562,Eternal.,5.0,2
