,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
288,青岛,,特别好看   ,1111213902,飒儿小仙女,4.0,2
289,宁波,,给我看哭了，又哭又笑，好看,1111216365,sjh734532446,5.0,2
290,东营,1,还行😁，比较好看,1111215562,李新海lxh,4.5,2
291,盐城,2,剧情真是太感人了,1111214681,liuyuxincao,4.5,2
292,南昌,,挺好，在这电影成功了,1111137518,fTe526393851,5.0,2
293,西安,2,挺搞笑的，非常好看,1111216340,小橙子…,5.0,1
294,合肥,,有笑点，有泪点,1111216327,九歌zxy,5.0,4
295,西安,,还好，可以推荐,1111216321,郭玥554,5.0,2
296,长沙,,哭死我了，实在是太棒了！,1111206048,好先生070,5.0,3
297,拉萨,,不错哦…………,1111191915,yun204803161,4.5,2
298,南阳,,刚开始很搞笑继而很感人,1111214607,不好不坏不惊不喜,4.5,2
299,西安,,拍的比较走心,1111215458,最爱逗逗,4.0,1
300,石家庄,,还可以吧～我妈看着看着睡着了～～,1111213768,Azs874622787,4.0,2
301,合肥,,过了好久才来评价，总之满意,1111214559,vIB960744519,5.0,2
302,德阳,,挺好看的 有哭有笑,1111206022,TTI289824247,4.5,2
303,苏州,,好看好看！！,1111197361,喽喽头呀,4.0,2
304,佳木斯,2,"还可以吧！
",1111191884,ai瀞禧,5.0,1
305,江阴,1,好看非常精彩,1111213747,HYZWY1314520,5.0,3
306,长沙,2,超级好看的电影，去的时候不知道有我峰哥，看到他的那一瞬间原地爆炸了,1111188989,OPK273360475,5.0,2
307,郑州,1,一般吧！最喜欢范伟那一段,1111217226,蓝天鹰眼503,3.5,2
308,呼和浩特,2,"好看好看呀
",1111213708,老虎癿,5.0,2
309,长春,2,拍的不错，又有喜感，又意义深刻！,1111216161,a幸运草135,5.0,2
310,枣庄,1,很棒     ,1111214502,lh6559990,4.5,3
311,咸阳,,有感人有欢笑,1111189998,谢先生wForever,5.0,3
312,沈阳,,太帅了，王俊凯和王源！,1111217147,凯小吃货,5.0,2
313,湘潭,,OK OK OK,1111214457,已经OK,5.0,2
314,慈溪,,挺好看的。下次还来。,1111191847,来自海岛,5.0,2
315,泌阳,,有笑点，有泪点,1111214445,蔚天520,5.0,2
316,昆明,2,每个人都爱自己的家乡，这部电影从大爱到小爱拍的都很细腻，故事人物性格鲜明，影片取景优美，喜剧当中穿插着感动，非常不错😊👍,1111197321,izL956786057,4.5,2
317,怀化,,很好看，特别是马丽那一段,1111213611,陳鹤婷,4.5,2
318,呼和浩特,,好有情怀的。,1111214421,newmm2007,5.0,2
319,沈阳,1,"
。。。。。",1111213537,曌靏,4.0,1
320,六安,,"不好看无聊全程尿点
",1111216036,pSw432165441,1.0,2
321,开封,,很好看，杨洋很帅,1111216022,Jjs558845960,3.5,2
322,广州,,不错的很赞的,1111216007,xKh774941918,5.0,2
323,常州,2,看了很感动，笑着哭，哭着笑一,1111213513,夜寂无华,4.5,3
324,南宁,,很不错，值得观看,1111212986,乐儿（烨）,4.5,3
325,开封,,值得看，片断性的小故事，还挺感人的,1111197279,SjJ484032850,4.5,2
326,通辽,,挺好的。。。。。,1111212947,简单，1992,4.5,2
327,上海,,挺好的很不错的,1111191779,迈克尔_乐,5.0,2
328,长春,,不愧是我和我的祖国姊妹篇,1111188899,bSv501966108,5.0,2
329,无锡,2,我觉着还行吧,1111212923,你的手机用户555,5.0,2
330,常州,,"电影很好看
",1111187205,王小虎2,4.5,2
331,柳州,,很好看 二刷了,1111211947,ALp678357812,5.0,2
332,郑州,,合适的话电话号电话,1111211937,kYV578887843,5.0,2
333,大连,,跌宕起伏，十分精彩,1111197253,houmm119,5.0,2
334,西安,1,电影不错，下次还买,1111211915,伟W533,5.0,2
335,常州,,真的太好看了,1111214203,PAM105950343,5.0,2
336,东莞,2,每年过期来个电影大合集挺不错的，去年我和我的祖国，今年我和我的家乡。,1111191755,牛牛zjn1009,5.0,2
337,固原,,"挺感人的好看
",1111213352,hJY536587664,4.5,2
338,郑州,,好的时候好的,1111191742,vZf343000663,5.0,1
339,赣州,2,一般般吧  ,1111212772,chenlv517,2.5,1
340,凯里,,还不错，推荐看,1111137447,DRx404870635,5.0,2
341,南宁,,一般般，还行叭,1111197208,Uoi356133057,2.5,2
342,丹东,,沈腾马丽 绝配哦,1111214109,徐可爱？,4.5,3
343,重庆,1,非常棒，值得推荐,1111213291,丿灬怎挽丶,5.0,2
344,郑州,,还错哦，可以看看,1111213286,jeC449651265,4.5,2
345,阜新,,非常好看   ,1111213279,wisshan,5.0,2
346,广州,2,挺好看的，剧情不错，,1111211783,陈以橙晨,5.0,1
347,深圳,,"还可以吧，大陆片
",1111211780,一只Sonia小可爱,2.5,2
348,昆山,,这个挺好看的,1111197194,hlV682133615,4.5,1
